node	name	taxa_level	n_descendants	prop_descendants_w_name	other_names	other_props	full_taxonomy	full_taxonomy_levels	habitat	habitat_probability	cellularity	cellularity_probability	genes_present	genes_gained	domains_present	domains_gained	KEGG_pathways_present	KEGG_pathways_gained	Reactome_pathways_present	Reactome_pathways_gained	nodes_in_results
530	Thermoprotei	class	3	1	NA	NA	cellular organisms, Archaea, Thermoproteati, Thermoproteota, Thermoprotei	no rank, superkingdom, kingdom, phylum, class	NA	NA	NA	NA	886	90	892	38	19.3148242399755	0.6562510834254224	59.24188795900466	0.46061990326003555	n
531	Acidilobales	order	2	1	NA	NA	cellular organisms, Archaea, Thermoproteati, Thermoproteota, Thermoprotei, Acidilobales	no rank, superkingdom, kingdom, phylum, class, order	NA	NA	NA	NA	1161	356	925	97	21.46047563244745	3.27014796346658	61.052962460098044	1.8645357434651373	n
532	Methanobacteriota	phylum	17	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota	no rank, superkingdom, kingdom, phylum	NA	NA	NA	NA	544	120	857	108	18.530973272948223	2.6701253865402044	63.69307234678273	0.381291147538467	n
533	Methanomada group	clade	5	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Methanomada group	no rank, superkingdom, kingdom, phylum, clade	NA	NA	NA	NA	707	180	932	110	19.99707500252671	1.7753259834363204	63.280320693297895	1.4476824796486254	n
534	Methanomada group	clade	4	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Methanomada group	no rank, superkingdom, kingdom, phylum, clade	NA	NA	NA	NA	763	67	958	40	20.791000762825362	0.8758465781349628	63.872478702376085	0.1347057416321996	n
535	Methanobacteriales	order	2	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Methanomada group, Methanobacteria, Methanobacteriales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	920	177	1007	66	21.922936525923145	1.216053913782715	65.76408525328922	2.4456696226106356	n
536	Methanococcales	order	2	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Methanomada group, Methanococci, Methanococcales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1053	303	1057	114	22.15336209855019	1.4974262707897632	64.23886642512491	1.5821813814289019	n
537	Methanobacteriota	phylum	12	1	Stenosarchaea group	0.916666666666667	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota	no rank, superkingdom, kingdom, phylum	NA	NA	NA	NA	653	115	956	109	20.225715097088678	1.7214274672644507	63.532501695477634	0.7054415756693453	n
538	Stenosarchaea group	clade	11	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group	no rank, superkingdom, kingdom, phylum, clade	NA	NA	NA	NA	772	130	1045	101	22.313642842332115	2.076391844484391	63.856261352856855	0.9147761578534793	n
539	Methanomicrobiales	order	4	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1071	331	1141	133	23.842261970142754	1.8308319845717849	69.33264920545712	5.273269849311661	n
540	Methanomicrobiales	order	3	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1244	178	1220	87	25.282736344012264	1.5025279452980795	70.17600750385436	2.114091437427959	n
541	Methanomicrobiales	order	2	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1389	146	1286	72	25.58535730102249	0.4302085057136218	70.68045321108515	0.7314660378718464	n
